length,band,traceback,baseline_ns,optimized_ns,speedup,repeat_baseline_ns,repeat_optimized_ns,repeat_speedup,score,cigar_hash
1000,32,false,46272,30232,1.531,47676,27664,1.723,1886,0
1000,32,true,55415,37548,1.476,55927,35052,1.596,1886,7705662
1000,128,false,173688,75235,2.309,172128,73408,2.345,1886,0
1000,128,true,198379,100251,1.979,195898,98623,1.986,1886,7705662
10000,32,false,463775,279966,1.657,489083,279378,1.751,19634,0
10000,32,true,542614,358741,1.513,561785,354955,1.583,19634,76969662
10000,128,false,1824751,754623,2.418,1822059,761262,2.393,19634,0
10000,128,true,2130576,1032425,2.064,2092155,1029669,2.032,19634,76969662
100000,32,false,4715011,2785382,1.693,4908455,2815130,1.744,197072,0
100000,32,true,5471109,3514988,1.557,5714013,3567126,1.602,197072,769609662
100000,128,false,18617809,7514554,2.478,18446523,7609447,2.424,197072,0
100000,128,true,21931062,10859791,2.019,21808562,11121556,1.961,197072,769609662
